track_id,track_name,track_artist,track_album_name,energy,tempo,danceability,loudness,liveness,valence,speechiness,track_popularity,instrumentalness,duration_ms,acousticness
0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,0.586,116.971,0.896,-6.687,0.79,0.642,0.0559,81,0.0,196653,0.104
4xhsWYTOGcal8zt0J161CU,Lovin On Me,Jack Harlow,Lovin On Me,0.558,104.983,0.943,-4.911,0.0937,0.606,0.0568,81,2.19e-06,138411,0.0026
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Lil Uzi Vert,Luv Is Rage 2,0.75,155.096,0.732,-6.366,0.109,0.401,0.231,81,0.0,182707,0.00264
3mfER4ORePHvN35cbZ3dkV,Where Are You Now,"Lost Frequencies, Calum Scott",All Stand Together,0.632,121.031,0.762,-8.312,0.18,0.282,0.085,81,0.000205,149067,0.51
4XvcHTUfIlWfyJTRG0aqlo,2055,Sleepy Hallow,Still Sleep?,0.512,80.511,0.829,-5.865,0.12,0.638,0.187,80,0.0,123987,0.492
4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),"24kGoldn, iann dior",El Dorado,0.716,91.007,0.701,-3.671,0.324,0.732,0.0361,80,0.0,140533,0.174
67smGwuPEtA6GAfeweAVNO,SLAY!,Eternxlkz,SLAY!,0.773,129.923,0.681,-4.706,0.0978,0.504,0.0345,80,0.734,107077,0.0863
0xoYZ45fgTfyQYREZPN7Sa,You & Me - Rivo Remix,"Disclosure, Eliza Doolittle, Rivo",You & Me (Rivo Remix),0.797,122.011,0.702,-6.635,0.179,0.0356,0.0557,79,0.495,208525,0.583
2FDTHlrBguDzQkp7PVj16Q,Sprinter,"Dave, Central Cee",Sprinter,0.681,139.057,0.918,-4.705,0.0615,0.706,0.201,79,0.0,229133,0.263
3wo3d0I5H8KjkwGvnz8WbB,Somedays,"Sonny Fodera, Jazzy, D.O.D",Somedays,0.753,127.926,0.671,-6.045,0.177,0.543,0.0298,79,1.29e-05,207168,0.019
19kHhX6f6EfLU7rcO3RqjO,Back On 74,Jungle,Volcano,0.761,146.003,0.62,-7.282,0.269,0.194,0.175,79,0.000147,209483,0.207
6jlG8gBPNAgBgoivw2Ig09,DEVIL IS A LIE,Tommy Richman,DEVIL IS A LIE,0.452,90.026,0.904,-7.272,0.115,0.613,0.132,78,0.0,130944,0.174
57wp7VFnV8X0pSVnYArGeJ,Whatever She Wants,Bryson Tiller,Whatever She Wants,0.512,96.02,0.803,-6.871,0.0928,0.435,0.066,78,0.0,161342,0.128
77DRzu7ERs0TX3roZcre7Q,euphoria,Kendrick Lamar,euphoria,0.643,139.948,0.831,-5.002,0.084,0.142,0.11,78,0.0,383639,0.046
3AjSfp5FDvwtMU9XBsbS8j,Push Up - Main Edit,Creeds,Push Up (Main Edit),0.83,75.023,0.767,-8.78,0.0582,0.187,0.206,77,0.836,139300,0.209
5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace,Strangers,0.523,169.982,0.628,-8.307,0.219,0.416,0.0946,77,0.00274,172965,0.701
3HrHhTWonBqF4mDasi8xvC,BACKBONE,"Chase & Status, Stormzy",BACKBONE,0.934,88.009,0.777,-0.959,0.275,0.637,0.254,77,3.86e-05,166449,0.285
4VL5XwfATZuAVTW471Wpro,FUNKED UP - SLOWED,"xxanteria, isq",FUNKED UP,0.927,109.952,0.755,0.254,0.0567,0.702,0.0645,77,0.925,115348,0.00288
7vOmSP2647oNUGGEhWd1cr,Montagem Mysterious Game,LXNGVX,Montagem Mysterious Game,0.64,130.051,0.537,-10.441,0.157,0.222,0.104,77,0.878,103495,0.146
7bxyNLXYaEYaZTxAuQTHlD,TUCA DONKA,"CURSEDEVIL, DJ FKU, Skorde",TUCA DONKA,0.963,130.028,0.817,-3.318,0.312,0.502,0.0353,77,0.767,75692,0.0683
56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,Doja Cat,Scarlet,0.556,99.974,0.864,-7.683,0.112,0.726,0.194,77,3.85e-06,230480,0.255
6njJR3OIp3oA0Kc4aC9Tzf,MONTAGEM - PR FUNK,"S3BZS, Mc Gw, Mc Menor Do Alvorada",MONTAGEM - PR FUNK,0.803,130.028,0.877,-3.195,0.087,0.795,0.0507,77,0.056,61673,0.734
3LtpKP5abr2qqjunvjlX5i,Doja,Central Cee,Doja,0.573,140.04,0.911,-7.43,0.403,0.972,0.288,77,0.0,97393,0.38
0agQ9vIV7NP4dntGKLcCXO,Somebody (2024),"Gotye, FISHER, Chris Lake, Kimbra, Sante Sansone",Somebody (2024),0.629,130.017,0.848,-6.198,0.049,0.586,0.0424,77,0.18,153519,0.016
0LMwmV37RCmBO2so0szAFs,Whatever,"Kygo, Ava Max",Whatever,0.777,108.005,0.58,-5.69,0.342,0.589,0.0655,76,0.0,178273,0.104
